seed,weeks,corr_uncomp,corr_gaincomp,corr_recal
0,0,0.8349,0.8349,0.8349
0,1,0.828,0.8436,0.8349
0,2,0.8264,0.8443,0.8349
0,4,0.8247,0.8453,0.8349
0,8,0.8235,0.8457,0.8349
0,12,0.8224,0.8461,0.8349
1,0,0.8657,0.8657,0.8657
1,1,0.8358,0.8756,0.8657
1,2,0.8315,0.8768,0.8657
1,4,0.8262,0.8773,0.8657
1,8,0.8209,0.8781,0.8657
1,12,0.818,0.8785,0.8657
2,0,0.7909,0.7909,0.7909
2,1,0.7795,0.7828,0.7909
2,2,0.7763,0.7817,0.7909
2,4,0.7737,0.7806,0.7909
2,8,0.7698,0.7796,0.7909
2,12,0.7673,0.7784,0.7909
3,0,0.8807,0.8807,0.8807
3,1,0.8769,0.8767,0.8807
3,2,0.8756,0.8766,0.8807
3,4,0.8736,0.8761,0.8807
3,8,0.8721,0.8754,0.8807
3,12,0.8714,0.8753,0.8807
4,0,0.7957,0.7957,0.7957
4,1,0.8065,0.7889,0.7957
4,2,0.8068,0.7876,0.7957
4,4,0.8062,0.787,0.7957
4,8,0.8063,0.7855,0.7957
4,12,0.8055,0.7851,0.7957
5,0,0.876,0.876,0.876
5,1,0.867,0.8811,0.876
5,2,0.8653,0.8809,0.876
5,4,0.8639,0.8816,0.876
5,8,0.862,0.8817,0.876
5,12,0.8606,0.8822,0.876
6,0,0.9006,0.9006,0.9006
6,1,0.8845,0.8933,0.9006
6,2,0.8814,0.8916,0.9006
6,4,0.8787,0.8906,0.9006
6,8,0.8757,0.8899,0.9006
6,12,0.8747,0.8893,0.9006
7,0,0.8675,0.8675,0.8675
7,1,0.8411,0.8402,0.8675
7,2,0.8374,0.8362,0.8675
7,4,0.8326,0.8328,0.8675
