seed,corpus_size,rmse_k_float,rmse_k_chipA,rmse_k_chipB,melcorr_chipA,n_mel
0,36,0.0782,0.091,0.0934,0.8557,40
0,72,0.0728,0.0888,0.0888,0.8483,40
0,144,0.0677,0.0811,0.0846,0.9071,40
0,288,0.0629,0.0815,0.0829,0.8874,40
0,480,0.0613,0.0829,0.0806,0.8582,40
0,612,0.0597,0.0839,0.0875,0.8293,40
1,36,0.0799,0.0947,0.0994,0.8405,40
1,72,0.0731,0.0902,0.0842,0.8642,40
1,144,0.0686,0.0868,0.0849,0.823,40
1,288,0.065,0.0925,0.0869,0.8302,40
1,480,0.0634,0.0828,0.0827,0.8521,40
1,612,0.0621,0.0798,0.0807,0.8742,40
2,36,0.077,0.0895,0.0879,0.8419,40
2,72,0.0707,0.0867,0.088,0.8805,40
2,144,0.0673,0.0891,0.0878,0.8444,40
2,288,0.0634,0.0874,0.0832,0.8953,40
2,480,0.0612,0.0848,0.0857,0.8158,40
2,612,0.0605,0.0846,0.0861,0.7919,40
3,36,0.0804,0.0945,0.0981,0.7847,40
3,72,0.0715,0.0929,0.0939,0.7391,40
3,144,0.0658,0.0902,0.0834,0.8416,40
3,288,0.062,0.0796,0.0814,0.79,40
3,480,0.061,0.0815,0.0851,0.846,40
3,612,0.0588,0.0819,0.0804,0.885,40
4,36,0.0792,0.0923,0.096,0.6992,40
4,72,0.0706,0.0891,0.0848,0.894,40
4,144,0.0656,0.0885,0.0837,0.8567,40
4,288,0.061,0.0944,0.084,0.8602,40
4,480,0.0592,0.082,0.08,0.8029,40
4,612,0.0582,0.0884,0.0809,0.7875,40
5,36,0.0815,0.0967,0.0958,0.8561,40
5,72,0.0764,0.0886,0.0976,0.7985,40
5,144,0.0697,0.0847,0.0862,0.8643,40
5,288,0.0643,0.0854,0.083,0.8812,40
5,480,0.0631,0.0783,0.0838,0.8382,40
5,612,0.0618,0.0863,0.0956,0.867,40
6,36,0.0817,0.0912,0.0896,0.8553,40
6,72,0.0753,0.0852,0.0886,0.8997,40
6,144,0.0692,0.0841,0.0843,0.8776,40
6,288,0.064,0.0906,0.0852,0.8791,40
6,480,0.0619,0.0826,0.0855,0.8646,40
6,612,0.0604,0.0884,0.0807,0.8984,40
7,36,0.0764,0.0964,0.0986,0.8114,40
7,72,0.0699,0.0844,0.0905,0.8491,40
7,144,0.0646,0.093,0.0813,0.8244,40
7,288,0.0608,0.0822,0.0823,0.9024,40
7,480,0.0586,0.0829,0.081,0.8808,40
7,612,0.0584,0.0796,0.0783,0.8692,40
