exp,M,r_seg,raw_err,mask_vs_nodal,comp_resid,comp_clip,comp_resid_quant
E12,32,1e-05,0.003,0.0029,nan,nan,nan
E12,32,0.0001,0.0211,0.02,0.0134,0.001,0.1998
E12,32,0.0003,0.059,0.0577,0.0386,0.002,0.2036
E12,32,0.001,0.1716,0.1867,0.1197,0.002,0.2321
E12,32,0.003,0.3838,0.5299,0.3057,0.0098,0.3674
E12,64,1e-05,0.0113,0.0111,nan,nan,nan
E12,64,0.0001,0.0858,0.0898,0.0556,0.0005,0.1744
E12,64,0.0003,0.2171,0.2598,0.1527,0.0027,0.2303
E12,64,0.001,0.4804,0.8028,0.4206,0.0591,0.4591
E12,64,0.003,0.7382,1.9825,0.7817,0.4385,0.7931
E12,128,1e-05,0.0318,0.0322,nan,nan,nan
E12,128,0.0001,0.2295,0.2852,0.1624,0.0005,0.2605
E12,128,0.0003,0.4738,0.8134,0.4053,0.0183,0.4548
E12,128,0.001,0.757,2.2772,0.8106,0.4301,0.8218
E12,128,0.003,0.9076,4.5592,0.943,0.7103,0.9462
E12,256,0.0001,0.5085,0.9411,nan,nan,nan
E12,256,0.001,0.9204,5.4754,nan,nan,nan
