layer,topo,r_seg,raw_err,act_err,area_rel,wire_rel,n_dev,comp_resid,comp_clip,act_err_comp
L1,grid,0.0001,0.0843,0.1029,1.0,1.0,11748,nan,nan,nan
L1,grid+perm,0.0001,0.076,0.0963,1.0,1.0,11748,nan,nan,nan
L1,grid,0.001,0.4843,0.5556,1.0,1.0,11748,0.4159,0.0229,0.5403
L1,grid+perm,0.001,0.4551,0.5346,1.0,1.0,11748,0.3668,0.0099,0.4976
L1,grid,0.003,0.7508,0.8222,1.0,1.0,11748,0.8047,0.2218,0.9187
L1,grid+perm,0.003,0.7272,0.8081,1.0,1.0,11748,0.781,0.2327,0.8895
L1,grid_pruned t0.05,0.0001,0.0955,0.112,1.0,1.0,9872,nan,nan,nan
L1,grid_pruned t0.05,0.001,0.481,0.5518,1.0,1.0,9872,nan,nan,nan
L1,grid_pruned t0.05,0.003,0.7472,0.8174,1.0,1.0,9872,nan,nan,nan
L1,tiled k2 t0.05,0.0001,0.0879,0.0801,1.0,1.35,9872,nan,nan,nan
L1,tiled k2 t0.05,0.001,0.4262,0.3889,1.0,1.35,9872,0.3789,0.0883,0.3282
L1,tiled k2 t0.05,0.003,0.6816,0.6389,1.0,1.35,9872,0.7255,0.2489,0.6534
L1,tiled k4 t0.05,0.0001,0.0894,0.0795,1.0,1.433,9872,nan,nan,nan
L1,tiled k4 t0.05,0.001,0.4284,0.3731,1.0,1.433,9872,0.3602,0.114,0.2699
L1,tiled k4 t0.05,0.003,0.674,0.5968,1.0,1.433,9872,0.713,0.3057,0.5875
L1,grid_pruned t0.1,0.0001,0.1554,0.152,1.0,1.0,7978,nan,nan,nan
L1,grid_pruned t0.1,0.001,0.4783,0.5412,1.0,1.0,7978,nan,nan,nan
L1,grid_pruned t0.1,0.003,0.7388,0.8035,1.0,1.0,7978,nan,nan,nan
L1,tiled k2 t0.1,0.0001,0.151,0.1307,1.0,1.35,7978,nan,nan,nan
L1,tiled k2 t0.1,0.001,0.4249,0.3871,1.0,1.35,7978,0.3753,0.0876,0.327
L1,tiled k2 t0.1,0.003,0.6723,0.6305,1.0,1.35,7978,0.7235,0.2498,0.6546
L1,tiled k4 t0.1,0.0001,0.1519,0.1329,0.999,1.43,7978,nan,nan,nan
L1,tiled k4 t0.1,0.001,0.428,0.3893,0.999,1.43,7978,0.3586,0.1139,0.2994
L1,tiled k4 t0.1,0.003,0.6676,0.6068,0.999,1.43,7978,0.7149,0.3093,0.6113
L1,grid_pruned t0.2,0.0001,0.3599,0.3535,1.0,1.0,4704,nan,nan,nan
L1,grid_pruned t0.2,0.001,0.5171,0.563,1.0,1.0,4704,nan,nan,nan
L1,grid_pruned t0.2,0.003,0.7257,0.7767,1.0,1.0,4704,nan,nan,nan
L1,tiled k2 t0.2,0.0001,0.3589,0.3465,1.0,1.334,4704,nan,nan,nan
L1,tiled k2 t0.2,0.001,0.4914,0.5023,1.0,1.334,4704,0.4105,0.096,0.4096
L1,tiled k2 t0.2,0.003,0.6821,0.6932,1.0,1.334,4704,0.7435,0.2754,0.746
L1,tiled k4 t0.2,0.0001,0.36,0.3447,0.991,1.399,4704,nan,nan,nan
L1,tiled k4 t0.2,0.001,0.4976,0.4713,0.991,1.399,4704,0.3909,0.1145,0.3269
L1,tiled k4 t0.2,0.003,0.6779,0.6403,0.991,1.399,4704,0.7285,0.2987,0.6438
L2,grid,0.0001,0.0356,0.0494,1.0,1.0,4094,nan,nan,nan
L2,grid+perm,0.0001,0.0345,0.0442,1.0,1.0,4094,nan,nan,nan
L2,tiled k2 t0.1,0.0001,0.1199,0.1252,0.996,1.163,2936,nan,nan,nan
L2,grid,0.001,0.2665,0.35,1.0,1.0,4094,0.1609,0.0051,0.2503
L2,grid+perm,0.001,0.258,0.3192,1.0,1.0,4094,0.1592,0.0042,0.2557
L2,tiled k2 t0.1,0.001,0.296,0.3632,0.996,1.163,2936,0.1965,0.0132,0.3028
L2,grid,0.003,0.5326,0.6539,1.0,1.0,4094,0.5038,0.0764,0.6684
L2,grid+perm,0.003,0.5195,0.6177,1.0,1.0,4094,0.477,0.0667,0.6319
L2,tiled k2 t0.1,0.003,0.535,0.6227,0.996,1.163,2936,0.5134,0.0936,0.6476
